country,listed_in
Turkey,"Dramas, International Movies, Romantic Movies"
Colombia,"Documentaries, International Movies"
Australia,"Dramas, International Movies, Music & Musicals"
Egypt,"International TV Shows, Romantic TV Shows, TV Dramas"
"","Crime TV Shows, International TV Shows, TV Action & Adventure"
Pakistan,"Dramas, International Movies, Romantic Movies"
"Mexico, United States",Comedies
Germany,"Comedies, International Movies, Romantic Movies"
Mexico,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
"United Kingdom, United States","Action & Adventure, Children & Family Movies, Dramas"
"Canada, United States, Germany","Horror Movies, Thrillers"
Japan,"International TV Shows, Reality TV"
United States,"Action & Adventure, Dramas, Sports Movies"
Italy,"Comedies, International Movies"
United States,"Comedies, Independent Movies"
South Korea,"Action & Adventure, Dramas, International Movies"
Chile,"Comedies, Independent Movies, International Movies"
Argentina,"Kids' TV, Spanish-Language TV Shows"
"","Crime TV Shows, International TV Shows, TV Dramas"
"Denmark, Zimbabwe","Documentaries, International Movies"
Nigeria,"Comedies, Independent Movies, International Movies"
Egypt,"Crime TV Shows, International TV Shows, TV Dramas"
"China, Hong Kong","Comedies, Dramas, International Movies"
"Chile, United States, France","Dramas, Independent Movies, International Movies"
"United States, Canada","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
"United Kingdom, China, United States, India","Action & Adventure, International Movies"
"India, United Kingdom, Canada, United States","Dramas, International Movies"
Georgia,"Documentaries, International Movies"
Colombia,"Comedies, Dramas, International Movies"
"Japan, Canada, United States","Anime Series, Kids' TV"
"United States, Canada, Ireland","Dramas, Independent Movies, International Movies"
United Kingdom,"British TV Shows, Crime TV Shows, Docuseries"
"France, Belgium, Luxembourg, Cambodia,","Dramas, International Movies"
Turkey,"International TV Shows, Romantic TV Shows, TV Dramas"
"","Docuseries, TV Comedies"
"United States, Greece, Brazil","Dramas, Independent Movies"
"","International TV Shows, Reality TV, TV Action & Adventure"
China,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy"
"France, Japan, United States",Kids' TV
"Canada, Mexico, Germany, South Africa","Action & Adventure, Dramas"
Russia,"Crime TV Shows, International TV Shows, TV Action & Adventure"
