title,duration_100(duration)
21,123
187,119
706,118
1920,143
1922,103
Oct-01,149
22-Jul,144
15-Aug,124
​​Kuch Bheege Alfaaz,110
​Goli Soda 2,128
​Maj Rati ​​Keteki,117
"#FriendButMarried",102
"#FriendButMarried 2",104
"#Roxy",105
"#Selfie",125
"#Selfie 69",119
Ég man þig,106
Òlòtūré,107
1 Mile to You,105
"10,000 B.C.",109
100 Meters,109
100% Halal,101
13TH,101
14 Blades,113
16 Blocks,102
17 Again,102
18 Presents,114
1898: Our Last Men in the Philippines,130
2 States,143
2015 Dream Concert,107
20th Century Women,119
2307: Winter's Dream,101
25 Kille,140
26 Years,135
28 Days,104
3 Days to Kill,117
3 Deewarein,121
3 Heroines,124
3 Idiots,164
365 Days,114
37 Seconds,116
4L,105
4th Republic,120
5 Cowok Jagoan,106
5CM,126
6 Underground,129
6-5=2,103
7 Din Mohabbat In,137
7 Khoon Maaf,148
90 ML,123
93 Days,121
A Bad Moms Christmas,104
A Beautiful Life,122
A Billion Colour Story,104
A Bridge Too Far,176
A California Christmas,107
A Choo,101
A Clockwork Orange,137
A Dangerous Woman,101
A Fall from Grace,121
A Family Affair,111
A Family Man,110
A Flying Jatt,142
A Fortunate Man,168
A Futile and Stupid Gesture,102
A Heavy Heart,109
A Little Chaos,113
A Love Story,117
A Monster Calls,108
A Most Violent Year,125
A Noble Intention,111
A Perfect Ending,110
A Scandall,108
A Second Chance,130
A Separation,123
A Serious Man,106
A Silent Voice,130
A Sun,156
A Thin Line Between Love & Hate,108
A Twelve Year Night,122
A Very Special Love,107
A Walk to Remember,102
A Wednesday,103
A Whisker Away,104
A Wrinkle in Time,110
A Yellow Bird,111
Aşk Tesadüfleri Sever,122
Aadu 2,150
Aagey Se Right,117
Aajcha Divas Majha,126
Aakhri Adaalat,148
Aalorukkam,122
Aapla Manus,133
Aarakshan,164
Aashayein,115
Aashik Awara,154
Aata Pita,133
Aaviri,110
Abby Sen,127
ABCD 2,146
ABCD: Any Body Can Dance,136
Abhinetri,131
About a Boy,101
About Time,123
Across the Universe,133
Act of Valor,110
Act of Vengeance,112
Action Replayy,129
Adú,120
Adhugo,105
Adore,111
After,106
After We Collided,105
Afterschool,107
Agneepath,174
Ahista Ahista,122
Aisa Yeh Jahaan,127
Aitraaz,153
Aiyaary,158
Aiyyaa,151
Ajab Prem Ki Ghazab Kahani,150
Ajji,105
AK vs AK,109
Ala Vaikunthapurramuloo,162
Alakada Reloaded,104
Albion: The Enchanted Stallion,106
