_corrupt_record,cast,country,date_added,description,director,duration,listed_in,rating,release_year,show_id,title,type
,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,"November 16, 2017","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",Shane Acker,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",PG-13,2009,s4,9,Movie
,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",United States,"January 1, 2020",A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,Robert Luketic,123 min,Dramas,PG-13,2008,s5,21,Movie
,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",United States,"February 1, 2018","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",Karyn Kusama,93 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2005,s45,Æon Flux,Movie
,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","United States, South Africa","June 1, 2019",Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,Roland Emmerich,109 min,Action & Adventure,PG-13,2008,s51,"10,000 B.C.",Movie
,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz","United States, Germany","November 1, 2019","Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",Richard Donner,102 min,Action & Adventure,PG-13,2006,s72,16 Blocks,Movie
,"Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller",United States,"January 1, 2021","Nearing a midlife crisis, thirty-something Mike wishes for a \"do-over\" – and that's exactly what he gets when he wakes up to find he's 17 again.",Burr Steers,102 min,Comedies,PG-13,2009,s73,17 Again,Movie
,"Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega",United States,"September 22, 2018","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",Morgan Neville,91 min,"Documentaries, Music & Musicals",PG-13,2013,s80,20 Feet From Stardom,Movie
,"Sandra Bullock, Viggo Mortensen, Dominic West, Diane Ladd, Elizabeth Perkins, Steve Buscemi, Alan Tudyk, Mike O'Malley, Azura Skye, Reni Santoni, Marianne Jean-Baptiste",United States,"September 30, 2020","After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook.",Betty Thomas,104 min,"Comedies, Dramas",PG-13,2000,s95,28 Days,Movie
,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis, Richard Sammel, Marc Andréoni, Bruno Ricci, Jonas Bloquet, Eriq Ebouaney","United States, France, Serbia","December 1, 2020",A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.,McG,117 min,Action & Adventure,PG-13,2014,s97,3 Days to Kill,Movie
,"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson",United States,"August 28, 2017","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",Gaby Dellal,92 min,"Dramas, LGBTQ Movies",PG-13,2015,s99,3 Generations,Movie
,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,"August 1, 2019","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",Rajkumar Hirani,164 min,"Comedies, Dramas, International Movies",PG-13,2009,s101,3 Idiots,Movie
,"Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer",United States,"March 17, 2019","A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",Richard Loncraine,92 min,"Comedies, Dramas, Independent Movies",PG-13,2014,s119,5 Flights Up,Movie
,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph",United States,"December 1, 2020","After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.",Peter Segal,99 min,"Comedies, Romantic Movies",PG-13,2004,s122,50 First Dates,Movie
,"Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio, Natalia Mann, Katelyn Epperly, Gunnar Anderson, Julie Lancaster, Amanda Detmer",United States,"December 14, 2020","With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family’s land before Christmas.",Shaun Paul Piccinino,107 min,"Comedies, Romantic Movies",PG-13,2020,s155,A California Christmas,Movie
,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Geraldine Chaplin, Jennifer Lim","United Kingdom, Spain, United States","January 16, 2021","Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.",J.A. Bayona,108 min,"Dramas, Sci-Fi & Fantasy",PG-13,2016,s206,A Monster Calls,Movie
,"",United States,"April 28, 2017","This documentary excoriates a noted anti-death-penalty activist and his team, whose questionable methods got a convicted killer freed in 1999.","Christopher S. Rech, Brandon Kimber",91 min,Documentaries,PG-13,2014,s208,A Murder in the Park,Movie
