cast,count
Anupam Kher,37
Om Puri,27
Takahiro Sakurai,27
Shah Rukh Khan,27
Boman Irani,25
Andrea Libman,24
Paresh Rawal,24
Yuki Kaji,23
Akshay Kumar,22
Vincent Tong,22
Kareena Kapoor,20
John Cleese,20
Adam Sandler,19
Junichi Suwabe,18
Ai Kayano,18
Gulshan Grover,18
Amitabh Bachchan,18
David Attenborough,18
Yashpal Sharma,18
Naseeruddin Shah,18
Asrani,17
Kana Hanazawa,17
Fred Tatasciore,17
Tomokazu Sugita,16
Manoj Joshi,16
Michael Palin,16
Amrish Puri,16
Erin Fitzgerald,16
Ashleigh Ball,16
Daisuke Ono,16
Hassan Hosny,16
Ajay Devgn,16
Nicolas Cage,16
Pankaj Tripathi,15
Eric Idle,15
Tara Strong,15
Kay Kay Menon,15
Rajesh Sharma,15
Vijay Raaz,15
Alessandro Juliani,15
Diana Kaarina,15
Sean Astin,15
Kulbhushan Kharbanda,14
Maya Rudolph,14
Rajpal Yadav,14
Fred Armisen,14
Sharat Saxena,14
Kari Wahlgren,14
Alfred Molina,14
Tabitha St. Germain,14
Jackie Shroff,14
Kathleen Barr,14
Katrina Kaif,14
Miyuki Sawashiro,14
Tinnu Anand,14
Aamir Khan,14
Ian James Corlett,14
Terry Jones,14
Sam Vincent,14
Danny Trejo,14
Molly Shannon,14
Shakti Kapoor,14
Robb Wells,13
Yoshimasa Hosoya,13
Jim Broadbent,13
Eric Peterson,13
Michela Luci,13
Kevin Michael Richardson,13
Julie Lemieux,13
Ahmed Helmy,13
Jamie Watson,13
Manoj Bajpayee,13
Seema Biswas,13
Cindy Robinson,13
Mohnish Bahl,13
Kate Higgins,13
Vipin Sharma,13
Debi Derryberry,13
Anil Kapoor,13
Saori Hayami,13
Priyanka Chopra,13
Fumiko Orikasa,13
Terry Gilliam,13
Brian Drummond,13
Yuichi Nakamura,13
Dee Bradley Baker,12
Pavan Malhotra,12
Mamoru Miyano,12
Rajit Kapoor,12
David Koechner,12
Ranvir Shorey,12
Cory Doran,12
Adil Hussain,12
Anna Claire Bartlam,12
Samuel L. Jackson,12
Rob Riggle,12
Kazuya Nakai,12
Mahesh Manjrekar,12
Cassandra Morris,12
Yoko Hikasa,12
Radhika Apte,12
Sanjay Mishra,12
Nawazuddin Siddiqui,12
Ben Kingsley,12
James Franco,12
Sanjay Dutt,12
Paul Dobson,12
Laurence Fishburne,12
Salman Khan,12
Joan Cusack,12
Ray Liotta,12
Naseeruddin Shah,12
Keith David,12
Hiroshi Kamiya,12
Javed Sheikh,11
John Dunsworth,11
Kathryn Hahn,11
Ben Mendelsohn,11
Dalip Tahil,11
Robert Patrick,11
John Michael Higgins,11
Shahid Kapoor,11
Willem Dafoe,11
Minako Kotobuki,11
Brijendra Kala,11
Laura Bailey,11
Kenjiro Tsuda,11
Saurabh Shukla,11
Takehito Koyasu,11
Stephanie Sheh,11
Satoshi Hino,11
Bruce Greenwood,11
Kazuhiko Inoue,11
Patrick Warburton,11
Nick Swardson,11
Adam Scott,11
Satish Shah,11
Alok Nath,11
Seth Rogen,11
B.N. Sharma,11
John Paul Tremblay,11
Michael Peña,10
Nassar,10
Steve Buscemi,10
Johnny Lever,10
Karamjit Anmol,10
Arjun Rampal,10
Jigna Bharadhwaj,10
Erin Mathews,10
Raj Babbar,10
Cam Clarke,10
Samuel West,10
Kenta Miyake,10
Sunil Shetty,10
Kalki Koechlin,10
Jun Fukuyama,10
Zakir Hussain,10
Sardar Sohi,10
Steven Yeun,10
Sathyaraj,10
Yukari Tamura,10
Prem Chopra,10
Harvey Keitel,10
Shraddha Kapoor,10
Helena Bonham Carter,10
Grey Griffin,10
Terry Crews,10
Neha Dhupia,10
Liev Schreiber,10
Juhi Chawla,10
John Malkovich,10
Divya Dutta,10
Sachin Khedekar,10
Bimbo Manuel,10
Britt McKillip,10
Mukesh Tiwari,10
Ramya Krishnan,10
Paul Schrier,10
Grey DeLisle,10
Nolan North,10
Rosario Dawson,10
Jason Schwartzman,10
Laura Linney,10
Nicole Anthony,10
Mike Epps,10
Katsuyuki Konishi,10
Rupa Bhimani,10
Bruce Dern,10
Nicole Oliver,10
Michael Madsen,10
Sayaka Ohara,10
Jeff Bennett,10
Amrita Rao,10
Saif Ali Khan,10
Danny McBride,9
Preity Zinta,9
Pedro Casablanc,9
Tim Blake Nelson,9
Stephen Tobolowsky,9
Reema Lagoo,9
Konkona Sen Sharma,9
Carla Gugino,9
Alan Cumming,9
Tamannaah Bhatia,9
Govind Namdeo,9
Jason Isaacs,9
Mohammed Tharwat,9
Janeane Garofalo,9
Guy Pearce,9
Elyse Maloway,9
Steve Zahn,9
Glenn Close,9
Stephen Lang,9
